Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
missingCladeDir						
T212_L229	-77286.30	-77229.18	-77235.96	-77211.99	-77222.22	
T212_L23	-22546.88	-22548.49	-22559.21	-22547.20	-22547.42	
T212_L230	-92937.52	-92916.09	-92909.63	-92949.82	-92928.51	
T212_L231	-30902.02	-30890.94	-30881.26	-30882.82	-30889.97	
T212_L232	-52545.69	-52509.01	-52510.66	-52510.29	-52500.33	
T212_L233	-30584.32	-30568.22	-30564.59	-30560.10	-30570.71	
T212_L234	-59374.93	-59336.79	-59327.77	-59340.05	-59343.48	
T212_L235	-35552.83	-35545.92	-35553.99	-35551.85	-35546.45	
T212_L236	-37886.20	-37847.26	-37833.25	-37830.38	-37832.46	
T212_L237	-67631.00	-67629.37	-67625.86	-67626.70	-67622.01	
T212_L238	-61491.30	-61508.31	-61488.29	-61501.54	-61496.52	
T212_L239	-65473.01	-65390.12	-65385.96	-65386.89	-65401.35	
T212_L24	-29708.45	-29725.50	-29731.31	-29712.55	-29732.93	
T212_L240	-86731.43	-86660.25	-86676.63	-86677.72	-86674.43	
T212_L241	-47248.53	-47215.53	-47212.70	-47221.15	-47231.29	
T212_L242	-72875.16	-72874.39	-72883.97	-72862.63	-72882.28	
T212_L243	-41886.14	-41821.81	-41828.46	-41828.60	-41809.02	
T212_L244	-27874.29	-27820.15	-27818.94	-27825.25	-27831.94	
T212_L245	-71767.04	-71744.11	-71746.65	-71748.29	-71737.44	
T212_L246	-24318.54	-24337.74	-24336.10	-24337.05	-24338.40	
T212_L247	-9379.31	-9360.83	-9366.00	-9365.19	-9370.06	
T212_L248	-45506.59	-45521.81	-45511.52	-45519.13	-45504.50	
T212_L249	-7965.75	-7965.84	-7968.33	-7970.10	-7958.88	
T212_L25	-16260.84	-16263.70	-16263.35	-16260.56	-16268.50	
T212_L250	-71078.55	-71026.92	-71024.95	-71037.31	-71019.12	
T212_L251	-75548.72	-75503.05	-75505.83	-75509.51	-75516.21	
T212_L252	-9216.46	-9214.30	-9219.11	-9215.51	-9217.85	
T212_L253	-14621.08	-14602.64	-14607.29	-14593.58	-14597.58	
T212_L254	-74881.28	-74887.10	-74892.20	-74879.69	-74871.80	
T212_L255	-6255.68	-6253.56	-6255.76	-6258.30	-6255.82	
T212_L256	-40727.51	-40729.02	-40740.60	-40733.21	-40734.93	
T212_L257	-4729.28	-4730.81	-4732.47	-4735.66	-4733.79	
T212_L258	-60511.50	-60450.11	-60463.11	-60456.62	-60441.87	
T212_L259	-43917.47	-43882.25	-43884.05	-43882.42	-43875.69	
T212_L26	-22558.54	-22539.96	-22546.67	-22531.35	-22543.98	
T212_L260	-39349.21	-39278.24	-39278.44	-39277.60	-39268.46	
T212_L261	-3252.48	-3247.46	-3251.22	-3248.40	-3247.64	
